slug;marca;familia;nome;tipo;pbt;pbtc;cmt;reducao;entre_eixos;comprimento;energia;bateria;autonomia;carregamento;passageiros;configuracao;carroceria;emissoes;fonte;status
byd-bc10le;BYD;Ônibus Elétricos Urbanos;BYD BC10LE;Ônibus;19.500 kg;Não se aplica;Não publicado na ficha oficial;"Integrada ao eixo; relação não publicada";5.420;Conforme carroceria homologada;100% elétrico;Não publicado na ficha oficial;Até 250 km;Não publicado na ficha oficial;Até 78 passageiros;Padron urbano;Chassi de ônibus;Zero emissão local;https://www.byd.com/br/noticias-byd-brasil/onibus-BYD-entra-em-teste-em-BH;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
byd-ebus-b12-b;BYD;Ônibus Elétricos Urbanos;BYD eBus B12.b;Ônibus;20.000 kg;Não se aplica;Não publicado na ficha oficial;"Integrada ao eixo; relação não publicada";5.950;12.130 mm;100% elétrico;Blade Battery LFP, até 500 kWh;Até 600 km;"CCS; pantógrafo opcional, até 500 kW";Até 105 passageiros;Piso baixo, entre-eixos de 5.950 mm;Chassi de ônibus;Zero emissão local;https://bydeurope.com/byd-ebus-b12;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
byd-ebus-b13;BYD;Ônibus Elétricos Urbanos;BYD eBus B13;Ônibus;19.100 kg;Não se aplica;Não publicado na ficha oficial;"Integrada ao eixo; relação não publicada";Conforme homologação da carroceria;13.275 mm;100% elétrico;Bateria LFP, até 422 kWh;Até 400 km;CCS ou pantógrafo;Até 59 passageiros;Entrada baixa, entre-eixos de 7.100 mm;Chassi de ônibus;Zero emissão local;https://bydeurope.com/pdp-bus-model-13;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
cf-ft-4x2-px-9;DAF;Linha CF Rodoviário;CF FT 4X2 PX-9;Caminhão;16.000 kg;53.000 kg;Não publicado na ficha oficial;3,08:1 / 3,40:1;3.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.dafcaminhoes.com.br/-/media/files/countries/br/brochures/outubro-2024-folhetos-tecnicos/cf/cf_ft_4x2_px-9.pdf?h=400&hash=F98E233CDE2765DE8117FA10AB1CA6EF&rev=ebe2ac4d5f484a8eb21a3ac4d42a8cc8&w=1600;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
cf-fts-6x2-px-9-380-cv;DAF;Linha CF Rodoviário;CF FTS 6X2 PX-9 380 cv;Caminhão;23.000 kg;56.000 kg;56.000 kg;3,08:1 / 3,40:1;3.100;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.dafcaminhoes.com.br/-/media/files/countries/br/brochures/fev-2026-fichas-tecnicas/cf/cf-fts-6x2-px-9.pdf?h=4233&hash=7650BA6D123C64C9223681DB9739701E&rev=57baa8bd563d4756a18c24c8ebd2c5bf&w=3065;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
cf-fas-6x2-px-9-340-cv;DAF;Linha CF Semipesado Rígido;CF FAS 6X2 PX-9 340 cv;Caminhão;23.000 kg;Não publicado (CMT 45.000 kg);45.000 kg;3,08:1 / 3,40:1;4.900 / 5.300;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.dafcaminhoes.com.br/-/media/files/countries/br/brochures/fev-2026-fichas-tecnicas/cf/cf-fas-6x2-px-9.pdf?h=3486&hash=DEA3B14111C32E32C291E8B9085AB27C&rev=6d74ef74088f4b169bfde7354a6cbeb5&w=2610;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
cf-fas-px-7-290-cv;DAF;Linha CF Semipesado Rígido;CF FAS PX-7 290 cv;Caminhão;23.000 kg;Não publicado (CMT 35.000 kg);35.000 kg;3,73:1 / 4,10:1;4.900 / 5.300;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.dafcaminhoes.com.br/-/media/files/countries/br/brochures/november-2022/daf-cf-fas-6x2-px-7-euro-6.pdf?h=793&hash=4E3E6159349AACE44F4D79FA9C7482CE&rev=14cef35b8025494fb58c2e1474807672&w=600;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
xf-ftt-6x4-530-cv;DAF;Linha XF;XF FTT 6X4 530 cv;Caminhão;23.000 kg;74.000 kg;Não publicado na ficha oficial;2,80:1 / 3,07:1 / 3,42:1;3.200;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.dafcaminhoes.com.br/-/media/files/countries/br/brochures/outubro-2024-folhetos-tecnicos/xf/xf_ftt_6x4.pdf?h=3416&hash=B54A4E71117213A4535C34F3E6D9CF96&rev=9b99b993752244c28bd3562ae3b4a69b&w=2539;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-30-160;IVECO;Daily;Daily 30-160;Caminhão;3.500 kg;Não publicado (CMT 6.500 kg);6.500 kg;3,73:1;3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-35-160;IVECO;Daily;Daily 35-160;Caminhão;3.500 kg;Não publicado (CMT 6.500 kg);6.500 kg;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-daily-35-180-hi-matic;IVECO;Daily;Daily 35-180 Hi-Matic;Caminhão;3.500 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_daily-chassi.pdf?rev=3dc7ab3602464fc189782e8c3c7af55f;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-35-180-hi-matic;IVECO;Daily;Daily 35-180 Hi-Matic;Caminhão;3.500 kg;Não publicado (CMT 6.500 kg);6.500 kg;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-45-160;IVECO;Daily;Daily 45-160;Caminhão;4.400 kg;Não publicado (CMT 6.500 kg);6.500 kg;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-daily-45-180-hi-matic;IVECO;Daily;Daily 45-180 Hi-Matic;Caminhão;4.400 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_daily-chassi.pdf?rev=3dc7ab3602464fc189782e8c3c7af55f;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-45-180-hi-matic;IVECO;Daily;Daily 45-180 Hi-Matic;Caminhão;4.400 kg;Não publicado (CMT 6.500 kg);6.500 kg;3,73:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-daily-55-180;IVECO;Daily;Daily 55-180;Caminhão;5.300 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;4,10:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_daily-chassi.pdf?rev=3dc7ab3602464fc189782e8c3c7af55f;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
daily-55-180;IVECO;Daily;Daily 55-180;Caminhão;5.300 kg;Não publicado (CMT 8.000 kg);8.000 kg;4,10:1;3.520 / 3.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-daily-65-180;IVECO;Daily;Daily 65-180;Caminhão;6.500 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;4.350;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_daily-chassi.pdf?rev=3dc7ab3602464fc189782e8c3c7af55f;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
